clubLabel,venueLabel,coordinates,countryLabel
Chelsea F.C. Reserves and Academy,Stamford Bridge stadium,Point(-0.191111111 51.481666666),United Kingdom
West Ham United F.C.,London Stadium,Point(-0.016389 51.538611),United Kingdom
Ajax Cape Town F.C.,Cape Town Stadium,Point(18.408611 -33.905556),South Africa
Cape Town City F.C.,Cape Town Stadium,Point(18.408611 -33.905556),South Africa
US FRAN,Stade Wobi Bobo-Dioulasso,Point(-4.29694444 11.18194444),Burkina Faso
Bobo Sport,Stade Wobi Bobo-Dioulasso,Point(-4.29694444 11.18194444),Burkina Faso
AS Yzeure,Q174939,Point(3.34905 46.56139722),France
FF Yzeure Allier Auvergne,Q174939,Point(3.34905 46.56139722),France
AmaZulu F.C.,Moses Mabhida Stadium,Point(31.0303 -29.829),South Africa
Aston Villa F.C.,Villa Park,Point(-1.884722222 52.509166666),United Kingdom
Aston Villa Under-21s and Academy,Villa Park,Point(-1.884722222 52.509166666),United Kingdom
FC Seoul,Seoul World Cup Stadium,Point(126.897361111 37.568222222),South Korea
IFK Malmö,Malmö stadion,Point(12.989166666 55.586111111),Sweden
KSF Prespa Birlik,Malmö stadion,Point(12.989166666 55.586111111),Sweden
Minerva Berlin,Poststadion,Point(13.359444 52.53),Germany
SC Union 06 Berlin,Poststadion,Point(13.359444 52.53),Germany
Berliner AK 07,Poststadion,Point(13.359444 52.53),Germany
E.C. Vitória,Barradão,Point(-38.427 -12.919),Brazil
Glentoran F.C.,The Oval,Point(-5.891319 54.602964),United Kingdom
Houston Dynamo,BBVA Compass Stadium,Point(-95.3524 29.7522),United States of America
Houston Dash,BBVA Compass Stadium,Point(-95.3524 29.7522),United States of America
Yeovil Town F.C.,Huish Park,Point(-2.674881 50.950278),United Kingdom
Cwmbrân Town A.F.C.,Cwmbran Stadium,Point(-3.02 51.6428),United Kingdom
Unione Sportiva Ancona 1905,Stadio del Conero,Point(13.526144 43.56425383),Italy
A.C. Ancona,Stadio del Conero,Point(13.526144 43.56425383),Italy
Millonarios,Estadio El Campín,Point(-74.0775 4.645888888),Colombia
Independiente Santa Fe,Estadio El Campín,Point(-74.0775 4.645888888),Colombia
C.F. Atlante,Andrés Quintana Roo Olympic Stadium,Point(-86.83842222 21.15095),Mexico
FC Shakhtar Donetsk,Donbass Arena,Point(37.809722 48.020833),Ukraine
Mamelodi Sundowns F.C.,Loftus Versfeld Stadium,Point(28.223014 -25.753189),South Africa
Lechia Gdańsk,Stadion Energa Gdańsk,Point(18.640278 54.39),Poland
Nui,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
F.C. Manu Laeva,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
Tamanuku,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
F.C. Niutao,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
F.C. Nanumaga,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
F.C. Tofaga,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
Nauti F.C.,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
Lakena United,Tuvalu Sports Ground,Point(179.198611 -8.523889),Tuvalu
Athletic Club,San Mamés Stadium,Point(-2.949369 43.264205),Spain
A.S. Lössi,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
AS Magenta,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
A.S. Mont-Dore,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
Gaïtcha FCN,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
USC Nouméa,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
Olympique de Nouméa,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
FC Dynamo Kyiv,Olimpiyskiy National Sports Complex,Point(30.521666666 50.433333333),Ukraine
FC Ahal,Ashgabat Stadium,Point(58.35027778 37.92805556),Turkmenistan
Bristol City F.C.,Ashton Gate Stadium,Point(-2.620278 51.44),United Kingdom
Bedminster F.C.,Ashton Gate Stadium,Point(-2.620278 51.44),United Kingdom
Djurgårdens IF,Stockholm Olympic Stadium,Point(18.078889 59.345278),Sweden
FC Twente,De Grolsch Veste,Point(6.8375 52.236666666),Netherlands
Jong FC Twente,De Grolsch Veste,Point(6.8375 52.236666666),Netherlands
Wisła Kraków,Stadion Miejski in Kraków,Point(19.911944 50.063611),Poland
A.C. Juvenes/Dogana,Stadio Olimpico,Point(12.476972 43.97125),San Marino
S.C. Faetano,Stadio Olimpico,Point(12.476972 43.97125),San Marino
S.S. Folgore Falciano Calcio,Stadio Olimpico,Point(12.476972 43.97125),San Marino
San Marino Calcio,Stadio Olimpico,Point(12.476972 43.97125),San Marino
S.P. La Fiorita,Stadio Olimpico,Point(12.476972 43.97125),San Marino
S.S. Cosmos,Stadio Olimpico,Point(12.476972 43.97125),San Marino
Vastese Calcio 1902,Stadio Aragona,Point(14.705556 42.107778),Italy
Shandong Luneng Taishan F.C.,Jinan Olympic Sports Center Stadium,Point(117.110052 36.656646),People's Republic of China
IK Start,Sør Arena,Point(8.028611 58.153611),Norway
Nyíregyháza Spartacus FC,Városi Stadion,Point(21.712777777 47.970277777),Hungary
AFC Varndeanians F.C.,Withdean Stadium,Point(-0.158888888 50.851944444),United Kingdom
Red Sea FC,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Hintsa FC,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Mdlaw Megbi,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Asmara Brewery,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Adulis Club,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Edaga Hamus,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Tele SC,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Tesfa FC,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
Asmara Calcio,Cicero Stadium,Point(38.92125556 15.34927222),Eritrea
S.C. Freamunde,Campo SC Freamunde,Point(-8.33944444 41.27638889),Portugal
Al-Ittihad SC Aleppo,Aleppo International Stadium,Point(37.117778 36.185),Syria
Club Atlético Osasuna,El Sadar Stadium,Point(-1.636944 42.796667),Spain
Tours FC,Stade de la Vallée du Cher,Point(0.728422 47.376092),France
Debreceni VSC,Stadion Oláh Gábor Út,Point(21.638882 47.549573),Hungary
A.C. ChievoVerona,Stadio Marc'Antonio Bentegodi,Point(10.968647 45.435356),Italy
Hellas Verona F.C.,Stadio Marc'Antonio Bentegodi,Point(10.968647 45.435356),Italy
CSM Ceahlăul Piatra Neamț,Stadionul Ceahlăul,Point(26.354424 46.938517),Romania
Coastal Union,Mkwakwani Stadium,Point(39.100556 -5.073611),Tanzania
JKT Mgambo,Mkwakwani Stadium,Point(39.100556 -5.073611),Tanzania
African Sports,Mkwakwani Stadium,Point(39.100556 -5.073611),Tanzania
Toulouse F.C.,Stadium Municipal,Point(1.434055 43.583296),France
Toulouse FC,Stadium Municipal,Point(1.434055 43.583296),France
KS Cracovia,Marshal Józef Piłsudski Stadium,Point(19.919722 50.058056),Poland
KS Cracovia,Marshal Józef Piłsudski Stadium,Point(19.919722 50.058056),Poland
Landskrona BoIS,Landskrona IP,Point(12.83761111 55.88993333),Sweden
Shanghai SIPG F.C.,Shanghai Stadium,Point(121.437278 31.1835),People's Republic of China
Atlético de Rafaela,Estadio Nuevo Monumental,Point(-61.48138889 -31.25083333),Argentina
Santa Cruz Futebol Clube,Estádio do Arruda,Point(-34.891175 -8.026711),Brazil
Villarreal Club de Fútbol,Estadio de la Cerámica,Point(-0.103611 39.944167),Spain
FK Cementarnica 55,Cementarnica Stadium,Point(21.452619 41.96812),North Macedonia
FK Gorno Lisiče,Cementarnica Stadium,Point(21.452619 41.96812),North Macedonia
Santos F.C.,Estádio Urbano Caldeira,Point(-46.338889 -23.951111),Brazil
Santos FC Reserves and Academy,Estádio Urbano Caldeira,Point(-46.338889 -23.951111),Brazil
FC Astana,Astana Arena,Point(71.401667 51.108056),Kazakhstan
FC Bayterek,Astana Arena,Point(71.401667 51.108056),Kazakhstan
FC Wohlen,Stadion Niedermatten,Point(8.264067 47.356997),Switzerland
Club Universitario,Estadio Olímpico Patria,Point(-65.257912 -19.032322),Bolivia
Club Independiente Petrolero,Estadio Olímpico Patria,Point(-65.257912 -19.032322),Bolivia
Flamengo de Sucre,Estadio Olímpico Patria,Point(-65.257912 -19.032322),Bolivia
Q6134437,Estadio Olímpico Patria,Point(-65.257912 -19.032322),Bolivia
1. FC Union Berlin,Stadion An der Alten Försterei,Point(13.568056 52.457222),Germany
FC Sioni Bolnisi,Tamaz Stephania Stadium,Point(44.535185 41.447996),Georgia
New York City FC,Yankee Stadium,Point(-73.926392 40.829569),United States of America
Racing Club de France,Stade Olympique Yves-du-Manoir,Point(2.248055555 48.929444444),France
RC Haïtien,Stade Sylvio Cator,Point(-72.342583333 18.535861111),Haiti
Aigle Noir AC,Stade Sylvio Cator,Point(-72.342583333 18.535861111),Haiti
Violette A.C.,Stade Sylvio Cator,Point(-72.342583333 18.535861111),Haiti
Police nationale d'Haïti FC,Stade Sylvio Cator,Point(-72.342583333 18.535861111),Haiti
Atlanta Silverbacks,Atlanta Silverbacks Park,Point(-84.2484 33.885353),United States of America
Atlanta Silverbacks U23's,Atlanta Silverbacks Park,Point(-84.2484 33.885353),United States of America
Atlanta Silverbacks Reserves,Atlanta Silverbacks Park,Point(-84.2484 33.885353),United States of America
Bologna F.C. 1909,Stadio Renato Dall'Ara,Point(11.309722222 44.492222222),Italy
Central F.C.,Ato Boldon Stadium,Point(-61.41722222 10.42472222),Trinidad and Tobago
South Starworld Strikers,Ato Boldon Stadium,Point(-61.41722222 10.42472222),Trinidad and Tobago
Club Sando F.C.,Ato Boldon Stadium,Point(-61.41722222 10.42472222),Trinidad and Tobago
KSV Hessen Kassel,Auestadion,Point(9.484167 51.298611),Germany
New York Red Bulls,Red Bull Arena,Point(-74.150277777 40.736666666),United States of America
FC Istres,Stade Parsemain,Point(4.981422 43.503428),France
Morecambe F.C.,Globe Arena,Point(-2.86716 54.0615),United Kingdom
Al-Hilal FC,King Fahd International Vergapolis,Point(46.839236 24.788206),Saudi Arabia
Al-Nassr FC,King Fahd International Vergapolis,Point(46.839236 24.788206),Saudi Arabia
Al Shabab FC,King Fahd International Vergapolis,Point(46.839236 24.788206),Saudi Arabia
Enugu Rangers,Nnamdi Azikiwe Stadium,Point(7.49638889 6.44416667),Nigeria
Ferro Carril Oeste,Estadio Arquitecto Ricardo Etcheverry,Point(-58.447639 -34.6185),Argentina
Club Universidad Nacional,Universitary Olympic Stadium,Point(-99.192106 19.331928),Mexico
Q6092798,Universitary Olympic Stadium,Point(-99.192106 19.331928),Mexico
Club Universidad Nacional,Universitary Olympic Stadium,Point(-99.192106 19.331928),Mexico
FK Pobeda,Stadion Goce Delčev,Point(21.561944 41.343611),North Macedonia
FK 11 Oktomvri,Stadion Goce Delčev,Point(21.561944 41.343611),North Macedonia
FK Korzo,Stadion Goce Delčev,Point(21.561944 41.343611),North Macedonia
FK Mladost Carev Dvor,Stadion Goce Delčev,Point(21.561944 41.343611),North Macedonia
FK Pobeda Junior,Stadion Goce Delčev,Point(21.561944 41.343611),North Macedonia
Balmain SC,Wentworth Park,Point(151.193333 -33.8775),Australia
FC Shurtan Guzar,G'uzor Stadium,Point(66.259139 38.618139),Uzbekistan
FC Progress Chernyakhovsk,Progress Stadium,Point(64.207222 41.570556),Uzbekistan
Calcio Catania,Stadio Angelo Massimino,Point(15.071389 37.515833),Italy
Club Barcelona Atlético,Estadio Olímpico Félix Sánchez,Point(-69.918662 18.480454),Dominican Republic
Bauger FC,Estadio Olímpico Félix Sánchez,Point(-69.918662 18.480454),Dominican Republic
Club Deportivo Pantoja,Estadio Olímpico Félix Sánchez,Point(-69.918662 18.480454),Dominican Republic
Universidad O&M F.C.,Estadio Olímpico Félix Sánchez,Point(-69.918662 18.480454),Dominican Republic
Lokomotiv Tashkent,Lokomotiv Stadium,Point(69.395 41.361111),Uzbekistan
Real Murcia,Estadio Nueva Condomina,Point(-1.144722 38.042222),Spain
Tigres UANL,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
Jabatos de Nuevo León,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
Corsarios de Campeche,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
Q5738684,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
Q6146853,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
Q6149343,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
Tigres UANL Premier,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
Tigres UANL,Universitary Stadium,Point(-100.312055555 25.722805555),Mexico
ASC Tevragh-Zeïna,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC Mauritel Mobile FC,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASAC Concorde,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
AS Garde Nationale,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC Armée Nationale,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC Assaba,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC Ksar,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC Tidjikja,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC Police,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC El Ahmedi,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
Nouakchott King's,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
ASC Sonalec,Stade Olympique,Point(-15.98545556 18.10470278),Mauritania
Viljandi JK Tulevik,Viljandi linnastaadion,Point(25.607033 58.361156),Estonia
FC Viljandi,Viljandi linnastaadion,Point(25.607033 58.361156),Estonia
JK Tulevik II Viljandi,Viljandi linnastaadion,Point(25.607033 58.361156),Estonia
Al Ahli SC,Khalifa International Stadium,Point(51.448078 25.263664),Qatar
Al-Mu'aidar Sports Club,Khalifa International Stadium,Point(51.448078 25.263664),Qatar
Anaheim Splash,Honda Center,Point(-117.876666666 33.807777777),United States of America
KSS Klaipėda,Klaipėda,Point(21.142777777 55.7075),Lithuania
Aalesunds FK,Color Line Stadion,Point(6.1875 62.46944444),Norway
ŁKS Łódź,Stadion ŁKS,Point(19.4275 51.7576),Poland
Associazione Sportiva Livorno Calcio,Stadio Armando Picchi,Point(10.314167 43.526667),Italy
Dundee United F.C.,Tannadice Park,Point(-2.968961 56.474703),United Kingdom
Dundee Wanderers F.C.,Tannadice Park,Point(-2.968961 56.474703),United Kingdom
Go Ahead Eagles,De Adelaarshorst,Point(6.1725 52.260278),Netherlands
Robur Siena,Stadio Artemio Franchi,Point(11.326111 43.321667),Italy
Ismaily SC,Ismailia Stadium,Point(32.27388889 30.60194444),Egypt
S.S. Sambenedettese Calcio,Stadio Riviera delle Palme,Point(13.884722 42.930556),Italy
Atalanta B.C.,Stadio Atleti Azzurri d'Italia,Point(9.680833 45.708889),Italy
U.C. AlbinoLeffe,Stadio Atleti Azzurri d'Italia,Point(9.680833 45.708889),Italy
Atalanta Primavera,Stadio Atleti Azzurri d'Italia,Point(9.680833 45.708889),Italy
AaB Fodbold,Nordjyske Arena,Point(9.8991 57.0515),Denmark
Q298200,Stade Robert Champroux,Point(-3.99244444 5.30527778),Ivory Coast
Stella Club d'Adjamé,Stade Robert Champroux,Point(-3.99244444 5.30527778),Ivory Coast
Williamsville AC,Stade Robert Champroux,Point(-3.99244444 5.30527778),Ivory Coast
Dundee F.C.,Dens Park,Point(-2.973194 56.475264),United Kingdom
Real Madrid C,Ciudad Real Madrid,Point(-3.61166667 40.47916667),Spain
Real Madrid Juvenil,Ciudad Real Madrid,Point(-3.61166667 40.47916667),Spain
El Mokawloon SC,Arab Contractors Stadium,Point(31.297 30.0512),Egypt
Ittihad El-Shorta,Arab Contractors Stadium,Point(31.297 30.0512),Egypt
Itesalat,Arab Contractors Stadium,Point(31.297 30.0512),Egypt
